Name,Runs,Ave,SR,Fours,Sixes,HF
,,,,,,
CH Gayle,733.0,61.08,160.74,46.0,59.0,9.0
,,,,,,
G Gambhir,590.0,36.87,143.55,64.0,17.0,6.0
,,,,,,
V Sehwag,495.0,33.0,161.23,57.0,19.0,5.0
,,,,,,
CL White,479.0,43.54,149.68,41.0,20.0,5.0
,,,,,,
S Dhawan,569.0,40.64,129.61,58.0,18.0,5.0
,,,,,,
AM Rahane,560.0,40.0,129.33,73.0,10.0,5.0
,,,,,,
KP Pietersen,305.0,61.0,147.34,22.0,20.0,3.0
,,,,,,
RG Sharma,433.0,30.92,126.6,39.0,18.0,5.0
,,,,,,
AB de Villiers,319.0,39.87,161.11,26.0,15.0,3.0
,,,,,,
JP Duminy,244.0,81.33,128.42,13.0,11.0,2.0
,,,,,,
DA Warner,256.0,36.57,164.1,28.0,14.0,3.0
,,,,,,
SR Watson,255.0,42.5,151.78,26.0,14.0,2.0
,,,,,,
F du Plessis,398.0,33.16,130.92,29.0,17.0,3.0
,,,,,,
OA Shah,340.0,37.77,132.81,24.0,16.0,3.0
,,,,,,
DJ Bravo,371.0,46.37,140.53,20.0,20.0,0.0
,,,,,,
DJ Hussey,396.0,33.0,129.83,28.0,17.0,2.0
,,,,,,
SK Raina,441.0,25.94,135.69,36.0,19.0,1.0
,,,,,,
AT Rayudu,333.0,37.0,132.14,21.0,14.0,2.0
,,,,,,
Mandeep Singh,432.0,27.0,126.31,53.0,7.0,2.0
,,,,,,
R Dravid,462.0,28.87,112.13,63.0,4.0,2.0
,,,,,,
DR Smith,157.0,39.25,160.2,18.0,7.0,1.0
,,,,,,
M Vijay,336.0,25.84,125.84,39.0,10.0,2.0
,,,,,,
SPD Smith,362.0,40.22,135.58,24.0,14.0,0.0
,,,,,,
TM Dilshan,285.0,35.62,109.19,33.0,5.0,3.0
,,,,,,
RV Uthappa,405.0,27.0,118.07,38.0,10.0,2.0
,,,,,,
SE Marsh,336.0,30.54,120.0,39.0,7.0,2.0
,,,,,,
KA Pollard,220.0,24.44,138.36,15.0,14.0,2.0
,,,,,,
DMD Jayawardene,335.0,27.91,112.41,39.0,3.0,3.0
,,,,,,
V Kohli,364.0,28.0,111.65,33.0,9.0,2.0
,,,,,,
MA Agarwal,225.0,20.45,142.4,19.0,15.0,1.0
,,,,,,
SR Tendulkar,324.0,29.45,114.48,39.0,4.0,2.0
,,,,,,
MEK Hussey,261.0,32.62,110.59,28.0,8.0,2.0
,,,,,,
JH Kallis,409.0,25.56,106.51,34.0,10.0,2.0
,,,,,,
MS Dhoni,357.0,29.75,128.41,26.0,9.0,1.0
,,,,,,
MS Bisla,213.0,30.42,133.12,16.0,10.0,1.0
,,,,,,
JD Ryder,256.0,25.6,120.75,23.0,8.0,2.0
,,,,,,
BJ Hodge,245.0,30.62,140.0,18.0,9.0,0.0
,,,,,,
NV Ojha,255.0,23.18,113.83,21.0,13.0,1.0
,,,,,,
DB Das,126.0,42.0,135.48,9.0,6.0,0.0
,,,,,,
AC Gilchrist,172.0,34.4,120.27,21.0,4.0,1.0
,,,,,,
BB McCullum,289.0,24.08,102.12,37.0,3.0,1.0
,,,,,,
IK Pathan,176.0,25.14,139.68,14.0,6.0,0.0
,,,,,,
Azhar Mahmood,186.0,23.25,130.98,16.0,8.0,0.0
,,,,,,
MK Pandey,143.0,20.42,127.67,12.0,6.0,1.0
,,,,,,
